query_no,parse_error,llama_3.2_3B_score,llama_3.2_3B_reasoning,qwen_3_4B_score,qwen_3_4B_reasoning,phi3_mini_3.8B_score,phi3_mini_3.8B_reasoning,gemma4_E2B_score,gemma4_E2B_reasoning,gemma4_E4B_score,gemma4_E4B_reasoning
18,False,0.0,"The response is completely off-topic and contradicts the official response by stating that RFP terms prevail, which does not address the query about statutory agencies or approvals.",0.0,"The response is irrelevant and hallucinated, as it mentions sharing information on NDA, which is not part of the official NPCIL response or the query context.",0.0,"The response is incorrect and contradicts the query by claiming it is not relevant, when the query explicitly asks for statutory agencies and approvals.",0.0,"The response is hallucinated and not aligned with the official response, as it refers to NDA sharing, which is not mentioned or implied in the actual NPCIL response.",0.0,"The response is factually incorrect and irrelevant, stating RFP terms prevail, which does not address the specific request for statutory agencies or approvals."
19,False,1.0,"The response captures the main idea that RFP terms prevail but misses the specific request for insurance details like maximum liability and premium, which were explicitly asked for in the query.",1.0,"Similar to LLaMA, it states RFP terms prevail but does not address the specific inquiry about insurance amount and premium, which are central to the query.",1.0,"It repeats the same general statement without providing any specific information on insurance coverage, maximum liability, or premium as requested.",1.0,"The response is partially correct but fails to mention the specific insurance details requested; it only references mutual agreement, missing the actual answer from NPCIL.",1.0,"While it includes a reference to NDA, it still does not provide the specific insurance amount or premium, which were directly asked for in the query."
20,False,1.0,"Partially correct as it acknowledges information will be shared post-NDA, but fails to mention that insurance charges are determined by market terms and will be mutually agreed upon, which is key in the official response.",2.0,"Semantically identical in meaning to the official response, correctly stating that charges are as notified by DAE and will be detailed in agreements, and explicitly noting that total sum insured and instalment-wise charges are not specified and will be mutually agreed upon.",0.0,"Completely wrong and irrelevant; it claims the information is not relevant to the RFP, contradicting the official response which explicitly addresses insurance charges and sum insured.",1.0,"Partially correct by indicating information will be shared post-NDA, but misses the key point that charges depend on market terms and will be mutually agreed upon, which is central to the official response.",1.0,"Partially correct as it references NDA, but fails to capture the market-dependent nature of insurance and the fact that charges are not specified and will be mutually agreed upon."
21,False,1.0,"Provides the correct total timeline calculation but fails to clarify that the 42-48 months are counted from FPC, not from excavation, which is a key point in the official response.",1.0,"Correctly states the timeline from excavation to FPC and then to unit construction, but does not explicitly clarify that the 42-48 months are counted from FPC, missing a critical detail in the official response.",0.0,"Only states 'RFP terms & conditions shall prevail' without addressing the query or providing any substantive clarification, which is completely incorrect and non-responsive.",1.0,"Correctly states the 9-12 months for excavation and PCC and 42-48 months from FPC, but does not explicitly clarify the reference point of the 42-48 months, missing a key nuance in the official response.",1.0,"Same as Gemma4_E2B — accurately describes the durations but fails to explicitly state that the 42-48 months are counted from FPC, which is essential to the clarification requested."
22,False,0.0,Completely wrong and hallucinated; does not address the FPC milestone or timeline as per the official response.,1.0,"Correctly identifies FPC as occurring in the Reactor Building and mentions construction duration from FPC, but misses that timelines from bid result are dependent on multiple regulatory clearances, which is a key point in the official response.",0.0,"Hallucinates a 9 to 12-month timeline from bid result/declaration, which is not supported by the RFP; the official response states timelines depend on multiple factors, not a fixed period.",0.0,"Completely wrong and hallucinated; provides no relevant information about FPC timelines or building, only references NDA signing.",1.0,"Correctly identifies FPC as marking the official start of construction and links it to Reactor Building, but misses the key point that FPC timelines depend on prior clearances like excavation and PCC, which are essential per the official response."
23,False,1.0,"The response is vague and does not directly address the submission mode, only stating that RFP terms prevail, which is insufficient and misses the specific clarification needed.",2.0,"Correctly identifies offline submission only, which aligns with the RFP's requirement for offline query submission and implies the complete response must also be offline, matching the official response's implication.",1.0,"Similar to LLaMA, it is generic and does not provide specific information about submission mode, missing the key detail required in the query.",0.0,"Incorrectly states email submission for queries, which is about query submission, not the complete response, and contradicts the official response which refers to offline mode for full response.",2.0,"Accurately states that the context does not specify submission mode for complete response, which is factually correct and directly reflects the official response's reference to 'INSTRUCTION SHEET'."
24,False,2.0,"The response is semantically identical to the official NPCIL response and directly aligns with the RFP terms, which is the correct and authoritative answer.",2.0,"The response matches the official NPCIL response exactly, correctly stating that RFP terms and conditions prevail without deviation.",0.0,"The response is incorrect and irrelevant as it claims the point is not relevant to the RFP, contradicting the official response which explicitly states RFP terms prevail.",2.0,The response is semantically identical to the official NPCIL response and correctly reflects the prevailing RFP terms.,1.0,"The response partially correct by referencing Annexure-3 and Corrigendum-IV, but fails to state the official response's core directive that RFP terms prevail, missing the key authoritative statement."
25,False,2.0,"Correctly identifies the maximum bid-out capacity as 220 MWe and accurately states that maximum capacity awarded is subject to land availability and agreement to pay 60 paise/kWh, which aligns with the official response referencing Annexure-3 and Corrigendum-IV.",0.0,"Provides no specific information about bid capacity or selection criteria, merely stating 'RFP terms & conditions shall prevail' without addressing the query or referencing the official response.",1.0,"Correctly states the 220 MWe capacity and mentions land availability, but misses the key point that selection is based on QRs and Annexure-3/Corrigendum-IV, and does not explicitly address the maximum capacity awarded to a single USER.",0.0,"Fails to address the query directly; does not mention bid capacity, maximum award, or selection process, and incorrectly states the context lacks such details when the official response references Annexure-3 and Corrigendum-IV.",0.0,"Irrelevant response; does not answer the query about maximum capacity or selection process, only reiterates a non-essential clause from the RFP."
26,False,1.0,"Partially correct by stating RFP terms prevail, but misses the key point about government regulations and the provision of vendor list at a later stage.",1.0,"Captures the idea of RFP terms prevailing and mentions NDA as a point for information sharing, but does not explicitly state that technology transfer from land-border countries is subject to government regulations or that the vendor list will be shared later.",1.0,Repeats the certification clause from the RFP without addressing the actual query about technology transfer from border countries or vendor list availability.,0.0,Hallucinated and irrelevant; repeats a certification statement from the RFP without addressing the query or providing correct information about regulations or vendor list.,2.0,"Correctly addresses both parts of the query: clarifies the certification requirement and explicitly states that relevant information will be shared on signing of NDA, aligning with the official response."
27,False,0.0,"Completely off-topic and irrelevant, mentioning NDA which is not part of the query or response.",2.0,"Correctly identifies the Power of Attorney format as Appendix-II and accurately states that Board Resolution is required for verification, matching the official response in intent and detail.",1.0,"Partially correct in stating RFP terms prevail, but fails to address the specific query about format or BR requirement, missing key details.",2.0,"Accurately reflects the required format from Appendix-II and correctly mentions the need to submit board resolution for verification as per Note 2, aligning fully with the official response.",2.0,"Identically matches the content of the official response in both format and requirement for BR, providing complete and correct information."
28,False,2.0,"The response is semantically identical to the official NPCIL response, capturing the exact meaning without deviation.",2.0,"The response matches the official response in content and meaning, providing the correct and complete answer.",2.0,"The response is identical in meaning and content to the official NPCIL response, fully accurate and precise.",0.0,The response is incorrect and irrelevant as it fails to address the query and contradicts the official response by stating it is not relevant.,2.0,The response is exactly aligned with the official NPCIL response and conveys the same key point without omission or error.
29,False,2.0,"The response is semantically identical to the official NPCIL response, directly and accurately reflecting the ground truth.",2.0,"The response matches the official response exactly, conveying the same key point without deviation.",2.0,"The response is identical in meaning and content to the official NPCIL response, fully aligning with the ground truth.",0.0,"The response states it is 'not relevant to RFP', which is incorrect and contradicts the query, which explicitly asks about commissioning conditions.",1.0,"The response adds speculative details about mutual agreement and regulatory framework, which are not in the official response; it partially captures the idea but introduces hallucinated content."
30,False,0.0,"The official response states that design and construction drawings are within NPCIL's scope, but the AI response incorrectly suggests information will be shared only after NDA signing, which is not mentioned in the ground truth and contradicts the actual content.",0.0,"The AI response hallucinates that information will be shared post-NDA, which is not stated in the official response and misrepresents the actual scope of NPCIL's responsibilities.",0.0,"The response incorrectly implies confidentiality via NDA, while the official response explicitly states that drawings are within NPCIL's scope, making this hallucinated and factually incorrect.",0.0,"The AI response fabricates a condition about NDA sharing, which is not present in the official response and contradicts the actual statement that drawings are in NPCIL's scope.",0.0,"The response falsely claims information will be shared after NDA, which is not in the official response and fails to reflect the actual fact that drawings are within NPCIL's scope."
31,False,1.0,"The response indicates future disclosure post-NDA, which is not stated in the official response, thus missing the key point that it is not relevant to the RFP.",2.0,Exactly matches the official response 'Not relevant to RFP' in meaning and intent.,0.0,Incorrectly states 'RFP terms & conditions shall prevail' which is not related to the query about CISF security and is factually irrelevant.,1.0,"Similar to LLaMA, it suggests future disclosure post-NDA, which is not in the official response and misses the direct statement of irrelevance.",0.0,"Hallucinates details about mutual agreements and regulatory framework, which are not in the official response and contradict the 'not relevant' fact."
32,False,1.0,"The response is vague and generic, stating that RFP terms prevail without referencing the specific clause in Annexure-3 point iii, which is the official response.",0.0,"The response is completely incorrect and irrelevant, as it claims the query is not relevant when the official response explicitly directs to Annexure-3 point iii.",1.0,"Similar to LLaMA, it is generic and does not cite the specific reference to Annexure-3 point iii, missing the exact directive in the official response.",0.0,"The response hallucinates information about NDA signing, which is not mentioned in the official NPCIL response and is entirely incorrect.",0.0,"Same as E2B, it falsely claims information will be shared on NDA signing, which is not in the official response and contradicts the actual directive."
33,False,1.0,"The response captures the general principle that RFP terms prevail but does not specify the exact reference (e.g., checklist or annexure) as in the official response, missing key detail.",1.0,"Similar to LLaMA, it correctly states RFP terms prevail but fails to mention the specific reference (e.g., RFP checklist) that the official response points to.",0.0,"The response is completely off-topic, mentioning an NDA which is unrelated to the query about third-party certification for site evaluation reports.",1.0,"It references Annexure-3 and Corrigendum-IV, which is specific and relevant, though the official response only says'refer RFP checklist', making it partially aligned but not identical.",1.0,"Same as E2B, it references specific documents but the official response does not mention these exact names, so it is partially correct but not semantically identical."
34,False,1.0,"The response confirms RFP terms prevail but does not address the specific calculation or validate the user's understanding, missing the key point that the understanding is correct.",2.0,"The response correctly calculates the O&M expense for 2026-27 as approximately 80.2 Lakhs/MWe with a 6% annual escalation and confirms the understanding is correct, matching the official response in both content and accuracy.",1.0,"The response states RFP terms prevail but fails to acknowledge or confirm the correctness of the user's understanding, missing the explicit affirmation present in the official response.",0.0,"The response only repeats the O&M expense and escalation without addressing the query about the 2026-27 figure or confirming the understanding, making it incomplete and incorrect in context.",0.0,"The response repeats the O&M details without addressing the specific query about the 2026-27 expense or confirming the correctness of the user's understanding, thus failing to match the official response."
35,False,0.0,"The response is completely wrong and hallucinated as it introduces a non-existent 'NDA' stage, which is not mentioned in the official response or RFP. The official response states the RFP is self-explanatory, not that information is shared post-NDA.",1.0,"The response refers to the correct documents (Annexure-3 and Corrigendum-IV), which is relevant, but does not state that the RFP is self-explanatory regarding stages after qualification, missing the key point from the official response.",1.0,"The response correctly references the relevant documents but fails to convey the main point that the RFP is self-explanatory about post-qualification stages, thus missing the core of the official response.",1.0,"The response correctly references the relevant documents but does not explicitly state or imply that the RFP is self-explanatory, missing the key message in the official response.",1.0,"The response refers to the correct documents but does not capture the essence of the official response that the RFP is self-explanatory, thus only partially correct."
36,False,0.0,The response is hallucinated and not grounded in the RFP; it refers to future information (NDA signing) which is not part of the official response.,0.0,"The response is incorrect and contradicts the actual response by stating it is 'not relevant to RFP', when the query is directly about RFP terms.",0.0,The response is generic and does not address the query or provide any factual information from the RFP; it fails to convey the correct answer.,0.0,"The response is off-topic and suggests pursuing MoP, which is not in the official response or RFP context.",1.0,"The response correctly states that users can propose multiple twin BSR units but misses the key point that there is no restriction on the number of units or sites, as per the official response."
37,False,1.0,"Provides a correct refund timeline (30 days post-QR) but contradicts the official response by implying the EMD is refunded after 6 months, which is not stated in the RFP. The official response states RFP terms prevail without specifying a 6-month delay.",2.0,"Correctly states that EMD is refunded within 30 days of QR result, aligns with RFP, and explicitly notes that the 6-month IP expiry does not affect refund timing, thus fully respecting the official response and adding accurate context.",0.0,"Only states 'RFP terms and conditions shall prevail' without addressing the specific query about EMD refund timing, which is a critical part of the question and thus fails to provide meaningful or relevant response.",0.0,"Incorrectly suggests referring to Annexure-3 and Corrigendum-IV without providing any actual content or clarification, which is not in line with the official response and fails to answer the query directly.",0.0,"Same as E2B — refers to documents without providing any substantive answer or alignment with the official response, thus failing to address the core query."
38,False,2.0,"The response is semantically identical to the official NPCIL response, matching the exact phrasing and intent.",2.0,"The response is identical in meaning and wording to the official NPCIL response, fully accurate.",2.0,"The response exactly matches the official NPCIL response in content and phrasing, demonstrating perfect alignment.",2.0,"The response is word-for-word identical to the official NPCIL response, showing complete accuracy.",2.0,"The response is exactly the same as the official NPCIL response, with no deviation or hallucination."
39,False,2.0,"The response is semantically identical to the official NPCIL response, matching both content and tone exactly.",1.0,"It captures the general idea of RFP terms prevailing but misses the specific and accurate statement about NDA and cost estimation by the USER, which is central to the official response.",2.0,"The response is word-for-word identical to the official NPCIL response, making it semantically and factually correct.",2.0,The response matches the official NPCIL response exactly in content and phrasing.,2.0,"The response is identical to the official NPCIL response, fully accurate and semantically equivalent."
40,False,0.0,"The response is irrelevant and does not address the specific query about extending operational life, merely stating that RFP terms prevail without providing any substantive answer.",0.0,"The response is irrelevant and fails to address the query about operational life extension, only repeating a generic statement about RFP terms.",0.0,"The response is irrelevant and does not provide any information on operational life extension, only stating that RFP terms prevail.",0.0,The response is not relevant to the query and does not mention operational life extension or any related facts from the RFP.,1.0,"The response correctly captures the idea that operational life can be extended with improved practices, matching the key point in the official response, but does not explicitly mention 'beyond 40 years' or'regulatory approvals' as in the official response."
41,False,2.0,"The response is semantically identical to the official NPCIL response, directly quoting the exact text without alteration or addition.",1.0,"The response captures the main idea of a 35-40 day shutdown but incorrectly infers operational days per year (350 days) without stating the total year or deriving it from the original data, which is not in the official response.",1.0,"The response correctly mentions the 35-40 day shutdown but estimates operational days (330) as a derived figure not present in the official response, which is a hallucination.",2.0,"The response is identical in content and wording to the official NPCIL response, with no deviation or addition.",2.0,"The response is semantically identical to the official NPCIL response, providing the exact same information without modification."
42,False,0.0,"Completely wrong and hallucinated; it mentions sharing information on NDA, which is not relevant to the actual NPCIL response about DG usage during shutdowns.",1.0,"Partially correct in acknowledging lack of specification, but misses the key point that DGs are for emergency only and supply is taken from grid during maintenance shutdowns.",0.0,Completely wrong and generic; 'RFP terms & conditions shall prevail' does not address the specific query or provide any factual response about DG usage.,0.0,"Hallucinated and irrelevant; claims information will be shared on NDA, which is not supported by the official response.",1.0,"Partially correct by referencing capital unit outage, but misses the key point about DGs being for emergency only and grid supply during shutdowns; fails to directly answer the query."
43,False,0.0,"The response is completely wrong and contradictory to the official NPCIL response, as it states the information is not relevant when the official response explicitly states that RFP terms and conditions prevail.",0.0,"The response is completely wrong and contradictory to the official NPCIL response, as it claims information will be shared on NDA, which is not mentioned in the official response.",2.0,"The response is semantically identical to the official NPCIL response, directly stating 'RFP terms & conditions shall prevail' without adding or omitting key information.",1.0,"The response partially captures the idea of confidentiality but misses the official response's core point that RFP terms and conditions prevail, thus it is incomplete and not fully accurate.",1.0,"The response partially captures the idea of confidentiality but misses the official response's core point that RFP terms and conditions prevail, thus it is incomplete and not fully accurate."
44,False,1.0,"The response states that RFP terms prevail, which is correct in principle, but does not explicitly state that air-cooled condensers are not designed for the BSRs, missing the key factual point from the official response.",1.0,"The response correctly references RFP terms but fails to convey the specific fact that air-cooled condensers are not part of the design, thus missing the core information in the official response.",1.0,The response is generic and only states RFP terms prevail without addressing the specific design exclusion of air-cooled condensers as stated in the official response.,0.0,"The response claims it is not relevant to the RFP, which is incorrect and contradicts the official response that directly addresses the query.",1.0,"The response correctly states RFP terms prevail, but does not explicitly mention the design exclusion of air-cooled condensers, missing the key factual detail from the official response."
45,False,0.0,Completely misses the key factual content about the exclusion zone and its review status; only states generic RFP terms without addressing the query.,2.0,"Accurately captures both the current 1 km exclusion zone and the fact that a proposal for 0.5 km is under review, matching the official response in content and intent.",0.0,"Only states generic RFP terms without addressing the specific query about exclusion zone reduction, missing critical factual details.",1.0,"Correctly mentions the proposal for reduction is under review but omits the key point that the current requirement is 1 km as per AERB siting code, missing a crucial part of the official response.",2.0,"Provides both the land area details (331 ha at 1 km, 87 ha at 0.5 km) and correctly states the proposal for reduction is under review, fully aligning with the official response."
46,False,0.0,"The response is completely wrong and contradictory to the official NPCIL response, which explicitly states that site evaluation studies are in scope of the USER. The AI response mentions sharing information on NDA signing, which is not in the official response and is irrelevant.",0.0,"The response is hallucinated and not aligned with the official response. The official response clearly states that site evaluation studies are in scope of the USER, but the AI response incorrectly suggests information will be shared post-NDA, which is not stated or implied.",0.0,"The response is factually incorrect and does not reflect the official NPCIL response. The official response directly states that site evaluation studies are in scope of the USER, while the AI response incorrectly suggests information will be shared on NDA signing.",0.0,"The response is hallucinated and contradicts the official response. The official response clearly states that site evaluation studies are in scope of the USER, but the AI response incorrectly references NDA signing, which is not part of the actual response.",0.0,"The response is incorrect and not grounded in the official response. The official response explicitly states that site evaluation studies are in scope of the USER, while the AI response fabricates a condition about NDA, which is not present."
47,False,0.0,"Completely wrong and hallucinated; it mentions sharing information after NDA signing, which is not in the official response or RFP context.",2.0,"Semantically identical in core meaning to the official response and correctly references the RFP annexures, adding relevant context without deviation.",2.0,"Matches the official response in key points, including site suitability factors and preliminary evaluation stage, with accurate and relevant details.",2.0,"Correctly identifies the preliminary evaluation stage and includes all key factors from the official response, with only minor expansion on foundation strata.",2.0,"Accurately captures all elements from the official response, including foundation strata and emergency response feasibility, within the preliminary evaluation context."
48,False,1.0,Captures the main idea that RFP terms prevail but does not explicitly state that the action is within the scope of the USER as per the official response.,2.0,"Accurately reflects the RFP section (iii) and explicitly states that the USER shall seek reclassification and sub-lease permission, matching the official response in intent and content.",1.0,"States that RFP terms prevail, which is correct but lacks specificity and does not directly affirm that the action is within the scope of the USER as per the official response.",2.0,"Directly replicates the exact wording from the RFP document, confirming the USER's responsibility in seeking reclassification and sub-lease permission, aligning perfectly with the official response.",2.0,"Provides a clear and accurate summary of the RFP requirement, matching the official response in meaning and scope without omission."
